UTF-8
ProjectCode;ProjectName;Month;WorkPackageCode;WorkPackageName;WorkPhaseCode;WorkPhaseName;LitteraCode;LitteraName;CostType;AC;GhostOpen;Remaining;PCT;Comment
0001;Kide-Asunnot Demo;12/2025;0100;Tontin tai osakekannan hankinta/vuokra;0100;Tontin tai osakekannan hankinta/vuokra;0100;Tontin tai osakekannan hankinta/vuokra;Lajittelematon;37 087,21;0,00;923 912,79;3,86;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0310;ARK-suunnittelu;0310;ARK-suunnittelu;0310;ARK-suunnittelu;Lajittelematon;12 094,63;0,00;0,00;105,17;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0320;RAK-suunnittelu;0320;RAK-suunnittelu;0320;RAK-suunnittelu;Lajittelematon;21 559,00;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0330;LVI-suunnittelu;0330;LVI-suunnittelu;0330;LVI-suunnittelu;Lajittelematon;2 974,98;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0340;Sähkösuunnittelu;0340;Sähkösuunnittelu;0340;Sähkösuunnittelu;Lajittelematon;4 000,00;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0350;Pohjarakennussuunnittelu;0350;Pohjarakennussuunnittelu;0350;Pohjarakennussuunnittelu;Lajittelematon;1 004,50;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0510;Rakennuslupa- ja tarkastusmaksut;0510;Rakennuslupa- ja tarkastusmaksut;0510;Rakennuslupa- ja tarkastusmaksut;Lajittelematon;266,30;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0551;Rakennustyövakuutus;0551;Rakennustyövakuutus;0551;Rakennustyövakuutus;Lajittelematon;3 886,51;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0552;Rakennusaikaisen vakuuden korot;0552;Rakennusaikaisen vakuuden korot;0552;Rakennusaikaisen vakuuden korot;Lajittelematon;16 138,00;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0553;Takuuajan vakuuden korot;0553;Takuuajan vakuuden korot;0553;Takuuajan vakuuden korot;Lajittelematon;6 147,00;0,00;1 753,00;77,81;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0601;Vesi- ja viemäriliittymä;0601;Vesi- ja viemäriliittymä;0601;Vesi- ja viemäriliittymä;Lajittelematon;26 781,16;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0602;Kaukolämpöliittymä;0602;Kaukolämpöliittymä;0602;Kaukolämpöliittymä;Lajittelematon;37,50;0,00;8 862,50;0,42;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0603;Sähköliittymä;0603;Sähköliittymä;0603;Sähköliittymä;Lajittelematon;6 938,61;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;0900;Riskivaraus;0900;Riskivaraus;0900;Riskivaraus;Lajittelematon;0,00;0,00;44 394,45;;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1100;Purkukustannukset;1100;Purkukustannukset;1100;Purkukustannukset;Lajittelematon;27 173,40;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1200;Maankaivu;1200;Maankaivu;1200;Maankaivu;Lajittelematon;162 443,44;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1450;Ponttaus;1450;Ponttaus;1450;Ponttaus;Lajittelematon;37 217,00;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1500;Salaojat, putkijohdot, kaivot ja viemäri;1500;Salaojat, putkijohdot, kaivot ja viemäri;1500;Salaojat, putkijohdot, kaivot ja viemäri;Lajittelematon;34 863,18;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1730;Asfaltointi;1730;Asfaltointi;1730;Asfaltointi;Lajittelematon;10 002,05;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1740;Vihertyöt;1740;Vihertyöt;1740;Vihertyöt;Lajittelematon;30 730,55;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;1800;Ulkovarusteet;1800;Ulkovarusteet;1800;Ulkovarusteet;Lajittelematon;22 656,84;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;2080;Perustusten vedeneristys;2080;Perustusten vedeneristys;2080;Perustusten vedeneristys;Lajittelematon;4 999,98;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;2200;Anturat ja perusmuurit;2200;Anturat ja perusmuurit;2200;Anturat ja perusmuurit;Lajittelematon;129 308,41;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;2250;Sokkelielementit / sokkelikuorielementit;2250;Sokkelielementit / sokkelikuorielementit;2250;Sokkelielementit / sokkelikuorielementit;Lajittelematon;20 781,19;0,00;0,00;100,00;JYDA-cutover 12/2025
0001;Kide-Asunnot Demo;12/2025;2500;VSS-rakenteet;2500;VSS-rakenteet;2500;VSS-rakenteet;Lajittelematon;39 679,08;0,00;0,00;100,00;JYDA-cutover 12/2025
