Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
0100;Tontin tai osakekannan hankinta/vuokra;0100101;TONTIN KUSTANNUKSET;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0100;Tontin tai osakekannan hankinta/vuokra;01001010;Tontin vuokrakustannukset;1,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19 555,00;19 555,00
0100;Tontin tai osakekannan hankinta/vuokra;01001011;Tontin hankintakustannukset;1,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;940 600,00;940 600,00
0100;Tontin tai osakekannan hankinta/vuokra;01001012;Muut kiinteistöstä aiheutuvat kustannukset;1,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100 000,00;100 000,00
0310;ARK-suunnittelu;0310;ARK-Suunnittelu;1,00;erä;0,000;0,00;0,00;0,00;0,00;6 500,00;6 500,00;0,00;0,00;0,00;6 500,00
0320;RAK-suunnittelu;0320;RAK-Suunnittelu;1,00;erä;0,000;0,00;0,00;0,00;0,00;20 000,00;20 000,00;0,00;0,00;0,00;20 000,00
0330;LVI-suunnittelu;0330;LVI-Suunnittelu;1,00;erä;0,000;0,00;0,00;0,00;0,00;3 500,00;3 500,00;0,00;0,00;0,00;3 500,00
0340;Sähkösuunnittelu;0340;SÄHKÖ-Suunnittelu;1,00;erä;0,000;0,00;0,00;0,00;0,00;4 000,00;4 000,00;0,00;0,00;0,00;4 000,00
0350;Pohjarakennussuunnittelu;0350;GEO-Suunnittelu;1,00;erä;0,000;0,00;0,00;0,00;0,00;1 100,00;1 100,00;0,00;0,00;0,00;1 100,00
0365;Energiatehokkuus;0365;Energialaskenta, -simulointi ja tiiveysmittaus;1,00;erä;0,000;0,00;0,00;0,00;0,00;1 500,00;1 500,00;0,00;0,00;0,00;1 500,00
