Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
4700;Kaiteet ja parvekelasitukset;47002N31;Terassilasitus Koko korkeus  ML1;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2N30;Sisäänkäyntitasot ja -katokset;28304012;Kattopintojen OSB-levytys;16,01;m2;38,000;5,02;80,30;10,58;169,37;0,00;0,00;0,00;0,00;0,00;249,67
3150;Porraselementit;31505013;Porraselementti Elemento 1;5,00;kpl;0,000;0,00;0,00;2 640,00;13 200,00;0,00;0,00;0,00;0,00;0,00;13 200,00
42001933;Erityisikkunat, sp-luukut;04200732;SavunpoistoLUUKKU katolla;1,00;kpl;0,000;0,00;0,00;0,00;0,00;2 000,00;2 000,00;0,00;0,00;0,00;2 000,00
12;Maankaivu;1200504;Rakennuksen sisätäyttö;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3120;Ontelo-, Massiivi- ja tulppalaatat;31202213;2O37 + 2O37K - Ontelolaatta TB370, 2O37=11 kpl, 2O37K= 3kpl, [ REI xxx ];80,70;m2;0,000;0,00;0,00;66,00;5 326,20;0,00;0,00;0,00;0,00;0,00;5 326,20
62;Varusteet;  6200150  ;Verholauta + kisko;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;3170730;PS: CX-Kiila-Parvekkeen kattolaatta TBxxx, syvyys xxxm, pielikannatteinen + Bitumieristys;26,54;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4330931;Metalliovet, -ikkunat ja lasiseinät;4330;SPI-Savunpoistoikkunat ASENNUS;3,00;kpl;0,000;0,00;0,00;0,00;0,00;186,80;560,40;0,00;0,00;0,00;560,40
5690;Mattolattiat pohjatöineen;56901053;Mattotöiden aloitusmaksu;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
35505146;Ulkoseinät elementteinä, puu;355020G1;Puu-ulkoseinäelementin asennus 2 KRS;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3020;Rungon teräsosat;30202021;Teräspilarin Päätylaput työstöineen;0,00;kg;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
30;Rungon teräsosat;  3020420  ;PS:DELTA-Palkit;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;18001012;Lipputanko;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
04100;Puu- ja muovi-ikkunat, parvekeovet;4100607;Lisähinta, puuikkunan sälekaihtimet, PO-parvekeovet;75,90;m2;0,000;0,00;0,00;25,00;1 897,50;0,00;0,00;0,00;0,00;0,00;1 897,50
4100;Puu- ja muovi-ikkunat, parvekeovet;41006115108;RPO-Paketti10x20  ICCUNA;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4510;Kipsiväliseinät;45102991;Kipsiseinän äänieristemassaus;2 496,81;jm;38,000;1,14;2 846,36;1,05;2 621,65;0,00;0,00;0,00;0,00;0,00;5 468,01
4100;Puu- ja muovi-ikkunat, parvekeovet;41L03071;IK - (MEK)- Kiinteät ikkunat ASENNUS. sis. vaahdotukset;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
47006011;Kaiteet ja parvekelasitukset;47002034;Terassilasitus EI 15 kiinteät lisäkustannus;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5110;Vesikattovarusteet, tikkaat yms.;51101013;Katon lumiesteet;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06110;Huoneistojen kalusteet;6100101;Asuinhuoneiden KEITTIÖ- JA KIINTO kalusteet;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;18001013;Tomutusteline, kuivatustelineet;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5600;Pintabetonilattiat;056001032;KAATOLATTIOIDEN  betonointi;20,90;m3;0,000;0,00;0,00;160,60;3 356,08;0,00;0,00;0,00;0,00;0,00;3 356,08
3110;Väliseinäelementit;31101010;V-seinäelementtien asennus;119,00;kpl;38,000;100,32;11 938,08;41,95;4 992,05;0,00;0,00;7,50;892,50;0,00;17 822,63
43303335;Metalliovet, -ikkunat ja lasiseinät;43308992;Metallisen välioven pellitykset;104,00;jm;0,000;0,00;0,00;0,00;0,00;6,90;717,60;0,00;0,00;0,00;717,60
02080;Perustusten vedeneristys;2080;Anturan yläpinnan bitumisively;297,63;m2;0,000;0,00;0,00;0,00;0,00;7,00;2 083,41;0,00;0,00;0,00;2 083,41
1800;Ulkovarusteet;1800;Rullattavat jäteastiat;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4300;Puuovet;4300301;Väliovi VO  7/10x21, laakaovi, karmi 92mm;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
62U0;Varusteet;62001011;PSH-Suihkuseinät INR;5,00;kpl;36,000;50,40;252,00;120,00;600,00;0,00;0,00;0,00;0,00;0,00;852,00
3700;Ullakko- ja kattorakenteet;37007724;Ullakko-osuuden seinän TS-levytys;210,00;m2;38,000;7,98;1 675,80;4,13;866,25;0,00;0,00;0,00;0,00;0,00;2 542,05
  2830  ;Sisäänkäyntitasot ja -katokset;2L303070;Porrasaskelmien hierto;0,80;m2;38,000;6,66;5,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,33
4520;Kipsialakatot;  4520201  ;Alaslaskettu kipsikatto, tavanomainen;403,15;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,64;0,64
5540;Julkisivumuuraus;5540;Julkisivumuuraus 135mm RT60, Tehostemuuraukset;0,00;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25;VSS-rakenteet;02500101;VSS-AP1 : Maanvarainen alapohjalaatta 150TBmm + 50+50ER;0,00;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5110;Vesikattovarusteet, tikkaat yms.;  51101017  ;Parvekkeiden sisäpuolinen vedenpoisto;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6200;Varusteet;62001012;PSH-Suihkun verhotanko kattoon;43,00;kpl;36,000;28,80;1 238,40;50,00;2 150,00;0,00;0,00;0,00;0,00;0,00;3 388,40
