Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
2500;VSS-rakenteet;25001015;Radonkaistan asennus Muurin ja MV-laatan liittymään;0,00;jm;0,000;0,00;0,00;NaN;NaN;0,00;0,00;0,00;0,00;0,00;0,00
5530;Julkisivun pellitykset ja metalliverhoukset;55301020;JS-muurauksen ja puuverhoksen välinen pystypellitys;0,00;jm;;0,00;0,00;NaN;0,00;0,00;0,00;0,00;;0,00;0.00
5600;Pintabetonilattiat;5600120;Kaatovalulattiat ontelokenttään 50..80mm;0,00;erä;0,000;0,00;NaN;0,00;0,00;0,00;NaN;NaN;NaN;0,00;0,00
2200;Anturat ja perusmuurit;22005074;PV-MP-Seinien työsaumaraudoitteet;199,51;m2;NaN;4,94;985,57;14,76;2 945,04;0,00;0,00;0,00;0,00;0,00;864734836.58
3020;Rungon teräsosat;30202026;Teräspilarien raudoitus;0,00;kg;0,000;0,00;0,00;NaN;;0,00;0,00;0,00;0,00;0,00;
7850;Palokatkot;7850501;Palokatkot + Sewatekit;0,00;erä;0,000;0,00;;0,00;0,00;-3049.23;0,00;;0,00;0,00;0,00
3700;Ullakko- ja kattorakenteet;37007201;Katon palokatkolevytyksen koolausrunko 48x98mm, k600;42,50;m2;1003,41;5,99;254,36;-4152,41;441,92;0,00;0,00;0,00;-884,78;0,00;-696
2080;Perustusten vedeneristys;20801103;Sokkelin yläpään taitettu bitumikaista + viistetty villa;66,53;jm;38,000;11,40;758,43;188.21;528,90;0,00;0,00;0,00;0,00;NaN;
5730;Puualakatot;57301013;Alaslaskun tarkastusluukut ( asennus paneelikattoon );43,00;kpl;0,000;;0,00;0,00;NaN;13,65;NaN;0,00;0,00;0,00;586,95
2830;Sisäänkäyntitasot ja -katokset;28303701;Teräspalkki IPExxx, L=xxxx;141,35;kg;0,000;0,00;NaN;0,00;0,00;3,60;508,84;0,00;;1.596e+03;-509
3120;Ontelo-, Massiivi- ja tulppalaatat;31202212;O37 + O37K - Ontelolaatta TB370, O37=194 kpl, O37K=109 kpl;2 072,50;m2;0,000;0,00;;54,00;111 915,00;;0,00;NaN;;0,00;-111915,00
4100;Puu- ja muovi-ikkunat, parvekeovet;41006121;RPO-Paketti18x20 Kaksiosainen   ICCUNA;5,00;kpl;0,000;0,00;4 213,99;900,00;4 500,00;0,00;;0,00;;0,00;4 500,00
5570;Elastiset saumaukset;55705070;Porraselementtien elastiset saumamassaukset;42,50;jm;;0,00;NaN;0,00;0,00;;669,38;;0,00;0,00;1399.21
4330;Metalliovet, -ikkunat ja lasiseinät;4330803;TVO-  Teräksinen väliovi [EI30] 10x21;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;;NaN;0,00;0,00;813342605.96
4300;Puuovet;43003052;Kostean tilan väliovi VO-K 9 x 21;50,00;kpl;0,000;0,00;0,00;110,00;5 500,00;0,00;;0,00;NaN;;5 500,00
5245;Yleisten tilojen laatoitukset;52452014;PRSH laatoituksen alle askeläänimatto;0,00;m2;NaN;NaN;0,00;0,00;0,00;0,00;;3 770,75;NaN;;0.00
2200;Anturat ja perusmuurit;22004991;PERUSTUKSET ALIURAKKANA, PERUSTUSPALVELU;0,00;erä;0,000;0,00;NaN;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3700;Ullakko- ja kattorakenteet;37007030;Vesikaton TYÖURAKKA;555,23;m2;NaN;23,37;12 975,68;NaN;0,00;0,00;;0,00;0,00;;12 975,68
0100;Tontin tai osakekannan hankinta/vuokra;01001012;Muut kiinteistöstä aiheutuvat kustannukset;1,00;erä;0,000;0,00;0,00;NaN;0,00;0,00;0,00;0,00;0,00;;
5260;Puulistoitukset;5260107;Puuikkunan listoitus 12x42;970,30;jm;0,000;0,00;;0,00;0,00;4,47;4 340,64;0,00;0,00;0,00;-4340,64
4100;Puu- ja muovi-ikkunat, parvekeovet;41006122;RPO-ovet, ASENNUS;10,00;kpl;38,000;;874,00;4,00;40,00;0,00;0,00;;0,00;;-914
4360;Lukitukset ja heloitukset;43601020;Lukitus ja heloitusurakka Certego;43,00;as;-6.264e+02;0,00;0,00;;0,00;NaN;3688.55;0,00;720,65;0,00;34 000,00
8110;Työmaarakennukset;81101102;Työmaarakennusten kuljetus, pystytys ja purku;9,00;kpl;36,000;54,00;486,00;51,11;460,00;NaN;-4020.53;0,00;0,00;0,00;12 576,00
5660;Parketti ja laminaatti;5660101;Asuinhuoneiden Laminaattilattiat L01;1 921,13;m2;0,000;3 322,29;;0,00;0,00;0,00;0,00;0,00;0,00;2,07;2,07
