Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
5180;Bitumikatteet;51803172;Tippapelti pural 0,5mm asennettuna LL=178-208mm;17,00;jm;0,000;0,00;0,00;0,00;0,00;13,00;221,00;0,00;0,00;0,00;221,00
5240;Märkätilojen laatoitukset;52401015;Laattojen haalauskulut;834,17;m2;32,000;1,28;1 067,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1 067,73
8160;Rakennussuojaus;81601601;Rakennustyön aikaiset suojaukset;3 307,50;brm2;38,000;0,69;2 280,00;2,44;8 079,46;0,00;0,00;0,00;0,00;0,00;10 359,46
4510;Kipsiväliseinät;45102991;Kipsiseinän äänieristemassaus;2 496,81;jm;38,000;1,14;2 846,36;1,05;2 621,65;0,00;0,00;0,00;0,00;0,00;5 468,01
2830;Sisäänkäyntitasot ja -katokset;28303571;Terassilaudoitus, Kestopuu 28x120;0,00;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3120;Ontelo-, Massiivi- ja tulppalaatat;31202094;Ontelokentän PV-kaistat muotitus;145,00;m2;38,000;5,70;826,50;18,69;2 710,52;0,00;0,00;0,00;0,00;0,00;3 537,02
3700;Ullakko- ja kattorakenteet;37007212;Ullakon eristyksen tukiseinät ristikkoväleihin TS levytys-9mm, nm2;9,00;m2;0,000;0,00;0,00;4,18;37,58;0,00;0,00;0,00;0,00;0,00;37,58
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;3170810;PS: CP-Pilarielementti, d=280, pyöreä, H=2720, Parvekepilarit;51,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3600;Kattotasot ja parvekkeet;36003170;Terassimatot parvekkeille;178,70;m2;0,000;0,00;0,00;0,00;0,00;10,00;1 787,00;0,00;0,00;0,00;1 787,00
2500;VSS-rakenteet;25001405;VSS-VP reunamuottaus,;11,77;m2;38,000;10,37;122,12;14,42;169,79;0,00;0,00;0,00;0,00;0,00;291,91
3120;Ontelo-, Massiivi- ja tulppalaatat;31202270;Ontelolaattojen asennus, sis.saumavalutyöt, hox! €/m2;2 596,89;m2;38,000;7,98;20 723,21;1,94;5 031,48;0,00;0,00;0,00;0,00;0,00;25 754,69
4510;Kipsiväliseinät;45102010;Kevyen seinän runko + levytys (13+66+13);0,00;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2250;Sokkelielementit / sokkelikuorielementit;2250131;PS: AS- Sokkelielementit H=1135mm, ( TB90 + 100ER + TB180 );10,52;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3020;Rungon teräsosat;30202915;Teräsputkipalkki, Suorakaide, asennus hitsattuna;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8170;Työturvallisuus;81701702;Rungon urakkamaksut, Työturvallisuus, kem2;3 307,50;m2;2,700;2,70;8 930,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8 930,25
2600;Maanvaraiset alapohjat;26001076;Laatan reunojen saumakittaus+solumuovinauha;290,00;jm;38,000;6,78;1 967,07;2,70;783,00;0,00;0,00;0,00;0,00;0,00;2 750,07
2200;Anturat ja perusmuurit;22002095;Peruspulttiryhmä Pilarianturaan;51,00;kpl;38,000;4,56;232,56;22,00;1 122,00;0,00;0,00;0,00;0,00;0,00;1 354,56
3120;Ontelo-, Massiivi- ja tulppalaatat;31202092;Ontelokentän PV-kaistat betonointi;54,95;m3;38,000;15,20;835,16;155,40;8 538,45;0,00;0,00;0,00;0,00;0,00;9 373,62
4700;Kaiteet ja parvekelasitukset;47002020;Parvekkeen Lasikaide H=1050,;165,00;jm;0,000;0,00;15592.03;0,00;21270;250,00;19 914,70;0,00;8648,41;49688;47973.76
3120;Ontelo-, Massiivi- ja tulppalaatat;31202097;Ontelokentän timanttiporaukset 252 kpl;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4300;Puuovet;43002012;Huoneisto-ovi 10-11x21M;43,00;kpl;0,000;0,00;0,00;600,00;25 800,00;0,00;0,00;0,00;0,00;0,00;25 800,00
0100;Tontin tai osakekannan hankinta/vuokra;0100101;TONTIN KUSTANNUKSET;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8150;Työmaa-alue , aitaukset ja mainoskilvet;81501502;Työmaan Mainoskilvet;1,00;erä;38,000;288,34;288,34;854,00;854,00;0,00;0,00;0,00;0,00;0,00;1 142,34
5180;Bitumikatteet;51801027;Kattopollarit;5,00;kpl;0,000;0,00;0,00;0,00;0,00;250,00;1 250,00;0,00;0,00;0,00;1 250,00
0365;Energiatehokkuus;0365;Energialaskenta, -simulointi ja tiiveysmittaus;1,00;erä;0,000;0,00;0,00;0,00;0,00;1 500,00;1 500,00;0,00;0,00;0,00;1 500,00
2830;Sisäänkäyntitasot ja -katokset;28303605;Teräspalkin UPE asennus hitsattuna;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2200;Anturat ja perusmuurit;22002095;Peruspulttiryhmä Pilarianturaan;51,00;kpl;38,000;4,56;43487,46;22,00;14209;0,00;35567;0,00;30646.02;38336,13;38135,02
2200;Anturat ja perusmuurit;22005071;PV-MP-seinän betonointi;112,75;m3;38,000;14,82;1 670,98;123,90;13 969,94;0,00;0,00;0,00;0,00;0,00;15 640,93
5530;Julkisivun pellitykset ja metalliverhoukset;55308991;Metallisen välioven kynnyspellitys;2,00;jm;0,000;0,00;0,00;0,00;0,00;39,90;79,80;0,00;0,00;0,00;79,80
1730;Asfaltointi;17301910;Asfalttialueiden profilointi 0-50mm, KaM 0-20/32, Valitse määrä!;523,38;m2;0,000;0,00;0,00;0,00;0,00;4,50;2 355,21;0,00;0,00;0,00;2 355,21
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;31707010;M-Pielielementtien asennus;11,00;kpl;38,000;60,80;668,80;12,48;137,23;0,00;0,00;7,50;82,50;0,00;888,53
3600;Kattotasot ja parvekkeet;36006011;Parvekkeen väliseinän runko;20,40;m2;38,000;20,90;426,36;11,00;224,36;0,00;0,00;0,00;0,00;0,00;650,72
4330;Metalliovet, -ikkunat ja lasiseinät;4330823;TVPO- (MO)  Teräksinen pariväliovi [EI30] 14x21;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4300;Puuovet;4300301;Väliovi VO  7/10x21, laakaovi, karmi 92mm;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3020;Rungon teräsosat;30202915;Teräsputkipalkki, Suorakaide, asennus hitsattuna;0,00;kpl;0,000;0,00;6993;0,00;46715.40;0,00;34268;0,00;4141,23;15389.12;22354
2080;Perustusten vedeneristys;20801033;MP seinän pystyeriste EPS 120 PRO ROUTA, maata vasten 50mm;99,79;m2;38,000;6,35;633,29;4,09;408,55;0,00;0,00;0,00;0,00;0,00;1 041,84
8500;Työmaan käyttötarvikkeet;85005001;Työmaan käyttötarvikkeet;3 007,50;brm2;0,000;0,00;0,00;1,48;4 465,00;0,00;0,00;0,00;0,00;0,00;4 465,00
2500;VSS-rakenteet;25001404;VSS-VP muottityö+purku+puhdistus;66,60;m2;38,000;27,93;1 860,24;15,29;1 018,37;0,00;0,00;0,00;0,00;874,28;3 752,88
2500;VSS-rakenteet;25001018;Betonilattian hionta, liiman poisto;78,43;m2;38,000;1,52;119,21;1,50;117,65;0,00;0,00;0,00;0,00;0,00;236,86
2500;VSS-rakenteet;25001017;Laatan reunojen saumakittaus;35,00;jm;38,000;1,52;53,20;1,20;42,00;0,00;0,00;0,00;0,00;0,00;95,20
1200;Maankaivu;12005052;Sisätäytön tiivistäminen;2 870,93;m2;0,000;0,00;0,00;0,00;0,00;2,18;6 265,80;0,00;0,00;0,00;6 265,80
3350;Betonipintojen etupaikkaus;33503100;Seinäelementtien etupaikkaus;3 100,90;m2;38,000;1,90;5 891,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5 891,71
5690;Mattolattiat pohjatöineen;56901050;Askeläänimuovimatto, Upofloor Estrad;143,38;m2;32,000;3,84;550,57;0,00;0,00;37,15;5 326,43;0,00;0,00;0,00;5 877,00
2500;VSS-rakenteet;25002011;Perusmuurikorotuksen muotitus;8,88;m2;38,000;19,00;168,72;0,00;0,00;0,00;0,00;6,60;58,61;0,00;227,33
1800;Ulkovarusteet;1800102;JÄTEHUOLTOVARUSTEET;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4100;Puu- ja muovi-ikkunat, parvekeovet;41006192;Parvekeovien ASENNUS, sis. vaahdotukset ja haalaukset;33,00;kpl;0,000;0,00;0,00;4,00;132,00;55,00;1 815,00;0,00;0,00;0,00;1 947,00
9230;Työmaan vartiointi;92302301;Työmaa-aikainen vartiointi;1,00;kk;0,000;0,00;0,00;0,00;0,00;488,00;488,00;0,00;0,00;0,00;488,00
4700;Kaiteet ja parvekelasitukset;4700302;Asuntopihojen LEGI-aidat;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3020;Rungon teräsosat;30204283;Deltapalkkien betonointi;0,00;m3;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1500;Salaojat, putkijohdot, kaivot ja viemäri;1500110;Rakennusten putkistojen kaivuu ja täyttötyöt;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2200;Anturat ja perusmuurit;22002073;Pilarianturan yläpinnan bitumisively;1,00;m2;38,000;5,70;5,70;6,40;6,40;0,00;0,00;0,00;0,00;0,00;12,10
2250;Sokkelielementit / sokkelikuorielementit;22501871;Kuorielementtien kiinnitys Weldat ja Lattateräkset;55,00;kpl;0,000;0,00;0,00;26,96;1 482,80;13,50;742,50;0,00;0,00;0,00;2 225,30
4510;Kipsiväliseinät;45102051;Kevyen seinän runko + levytys (66+13) ALIURAKKANA;224,70;m2;0,000;0,00;0,00;10,39;2 334,27;16,00;3 595,16;0,00;0,00;0,00;5 929,43
1730;Asfaltointi;17301130;Asfalttibetoni AB 16/120, Valitse määrä!;523,38;m2;0,000;0,00;0,00;0,00;0,00;12,50;6 542,24;0,00;0,00;0,00;6 542,24
2830;Sisäänkäyntitasot ja -katokset;2830321;PS: Ulkop.RV-laatta TB 80..100 , ER50, Vahvennos reunassa 500/500;14,49;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,17
3020;Rungon teräsosat;30204282;Delta-Palkin asennus;7,00;kpl;38,000;133,00;931,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;931,00
2500;VSS-rakenteet;25001303;VSS-väliseinien kasettimuottityö+purku+puhdistus;24,20;m2;38,000;20,90;505,78;0,00;0,00;0,00;0,00;26,12;632,07;0,00;1 137,85
