Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
5260;Puulistoitukset;52601010;Jalkalistoitus, Tehdaslakattu mänty 12x42, ruuvikiinnitys;2 069,34;jm;0,00;0,00;0,00;0,00;0,00;4,67;9 668,98;0,00;0,00;0,00;9818,40
5110;Vesikattovarusteet, tikkaat yms.;51101015;Katon rännikourut;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5560;Julkisivun puu- ja levyverhoukset;55602830;Kattopinnan Luja-A levytys 12mm;16,16;m2;38,000;15,96;255,49;37,39;589,57;0,00;0,00;0,00;0,00;0,00;853,97
2200;Anturat ja perusmuurit;22002076;Pilarianturan vaakaeriste 100S 100mm;1,00;m2;38,000;6,35;6,35;6,44;6,48;0,00;0,00;0,00;0,00;0,00;12,92
5530;Julkisivun pellitykset ja metalliverhoukset;55303012;Ulko-oven ulkopuoliset smyygipellitykset;23,60;jm;0,00;0,00;0,00;0,00;0,00;13,15;316,24;0,00;0,00;0,00;316,24
2830;Sisäänkäyntitasot ja -katokset;28303276;RV-laatan eristys EPS 100 LATTIA 50mm;14,44;m2;38,65;6,26;92,48;3,27;47,31;0,00;0,00;0,00;0,00;0,00;139,79
4700;Kaiteet ja parvekelasitukset;47002041;Asuntopihojen Lasiset terassiovet 8x24 asennettuna;2,97;kpl;0,000;0,00;0,00;0,00;0,00;600,00;1815,77;0,00;0,00;0,00;1 800,00
3700;Ullakko- ja kattorakenteet;37007301;Ullakon kulkusilta 4x48x123;20,00;jm;38,000;18,81;380,00;13,00;260,00;0,00;0,00;0,00;0,00;0,00;640,00
4520;Kipsialakatot;4520201;Alaslaskettu kipsikatto, tavanomainen;398,29;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,64;0,64
4360;Lukitukset ja heloitukset;4360102;Lukitus ja heloitusurakka Certego;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5570;Elastiset saumaukset;55705540;Liikuntasaumojen elastiset saumamassaukset;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;1800103;PIHA- VARUSTEET arvio;0,00;erä;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3550;Ulkoseinät elementteinä, puu;35502077;Puuelementtien suunnittelukulut;70,00;kpl;0,00;0,00;0,00;0,00;0,00;67,02;4 690,00;0,00;0,00;0,00;4 690,00
3600;Kattotasot ja parvekkeet;36006012;Ulkoseinän tuuletuskoolaus 2x22mm, k400;41,30;m2;38,000;3,99;162,79;2,03;82,62;0,00;0,00;0,00;0,00;0,00;248,08
3600;Kattotasot ja parvekkeet;36006011;Parvekkeen väliseinän runko;20,40;m2;38,000;20,52;434,80;11,00;222,09;0,00;0,00;0,00;0,00;0,00;650,72
6200;Varusteet;6200150;Verholauta + kisko;0,00;erä;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4700;Kaiteet ja parvekelasitukset;4700203;Terassilasitus Koko korkeus;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1800;Ulkovarusteet;18001012;Lipputanko;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5570;Elastiset saumaukset;55705070;Porraselementtien elastiset saumamassaukset;43,09;jm;0,00;0,00;0,00;0,00;0,00;15,75;669,38;0,00;0,00;0,00;669,38
1800;Ulkovarusteet;18001013;Tomutusteline, kuivatustelineet;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2200;Anturat ja perusmuurit;2200102;PS: Nauha-antura ( 650 x 1200 );78,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8330;Torninosturit, ristikkopuominosturit;83303301;Torninosturi MD 285;4,50;kk;43,000;7 310,00;32 895,00;0,00;0,00;0,00;0,00;10677,36;48 900,00;0,00;81 795,00
5350;Akustoivat alakatot;53501050;Liimattavat akustolevyt;15,02;m2;0,000;0,00;0,00;0,00;0,00;20,25;295,98;0,00;0,00;0,00;300,31
5550;Julkisivurappaus;55502011;Julkisivun Levyrappaus;1 487,00;m2;0,000;0,00;0,00;0,00;0,00;62,21;91415,69;0,00;0,00;0,00;92552,31
1200;Maankaivu;12001401;MRU työnjohtokulut;1,00;kk;0,00;0,00;0,00;0,00;0,00;2 400,00;2385,68;0,00;0,00;0,00;2 400,00
3550;Ulkoseinät elementteinä, puu;35502070;Puu-ulkoseinäelementin asennus 1-6 KRS;70,00;kpl;118,98;120,93;8 400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8550,77
2080;Perustusten vedeneristys;2080103;MP-seinien ulkopuoliset pystyeristykset + VER;66,53;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4330;Metalliovet, -ikkunat ja lasiseinät;43301512;Alumiinilasiseinän sisäpuolen pellitykset;29,24;jm;0,000;0,00;0,00;0,00;0,00;6,81;199,88;0,00;0,00;0,00;201,76
4330;Metalliovet, -ikkunat ja lasiseinät;43308992;Metallisen välioven pellitykset;104,00;jm;0,000;0,00;0,00;0,00;0,00;6,90;717,60;0,00;0,00;0,00;717,60
4600;Irtaimistokopit ja erityisväliseinät;4600101;Irtaimistokopit, teräsverkkoseinälliset;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2500;VSS-rakenteet;25001406;VSS-VP-sirpaleverkko;78,36;m2;0,820;0,84;67,95;3,05;238,91;0,00;0,00;0,00;0,00;0,00;305,73
9120;Kopiot, IT-, AV-, tstotarvike, Huoltokirja;91201205;Työmaan Laaduntarkkailujärjestelmä;0,99;erä;0,00;0,00;0,00;5762,97;5686,86;0,00;0,00;0,00;0,00;0,00;5697,18
5600;Pintabetonilattiat;56001034;Betonilattian hionta, liiman poisto;364,79;m2;0,000;0,00;0,00;0,00;0,00;2,60;964,68;0,00;0,00;0,00;959,64
3020;Rungon teräsosat;30204282;Delta-Palkin asennus;6,89;kpl;38,000;133,00;931,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,08
4300;Puuovet;4300301;Väliovi VO  7/10x21, laakaovi, karmi 92mm;0,00;erä;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;3170802;PS: P-Pilarielementti, 380 x 380, H=2950;6,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00
3020;Rungon teräsosat;30204284;Delta-Palkkien liitososat arvio;0,00;jm;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4700;Kaiteet ja parvekelasitukset;47002050;Parvekkeen Pinnakaide lasikaiteen päälle H=1050;45,57;jm;0,00;0,00;0,00;0,00;0,00;400,00;18555,59;0,00;0,00;0,00;18 400,00
5240;Märkätilojen laatoitukset;52401011;Märkätilan seinän Laatoitus;834,17;m2;0,000;0,00;0,00;11,50;9658,09;28,00;23 356,66;0,00;0,00;0,00;33582,99
4330;Metalliovet, -ikkunat ja lasiseinät;43303600;Parvekelaatan ja seinänvierustan tiivistyspellitys LL=100-200;136,76;jm;0,000;0,00;0,00;0,00;0,00;9,06;1 239,03;0,00;0,00;0,00;1249,13
5540;Julkisivumuuraus;55401020;Julkisivumuuraus 135mm RT60;189,41;m2;0,00;0,00;0,00;61,23;11 664,63;71,06;13 523,79;0,00;0,00;0,00;25 188,42
9400;Talvilisätyöt;94004001;Talvilisätyöt;3337,81;brm2;37,61;0,34;1 140,00;0,00;0,00;0,47;1 560,00;0,30;992,00;0,00;3 692,00
6200;Varusteet;6200101;PSH- Varusteet, Suihkuseinät jne.;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5260;Puulistoitukset;52605012;Liukuovien smyygien kulmalistat;5,00;kpl;0,000;0,00;0,00;0,00;0,00;44,00;219,25;0,00;0,00;0,00;220,39
5180;Bitumikatteet;51801026;Vilpet asennettuna;10,00;kpl;0,00;0,00;0,00;0,00;0,00;180,00;1 800,00;0,00;0,00;0,00;1811,06
4330;Metalliovet, -ikkunat ja lasiseinät;43301510;MLS-Alumiinilasiseinä 8,2m x 13,8m;11,32;m2;0,000;0,00;0,00;500,00;5 658,00;0,00;0,00;0,00;0,00;0,00;5 658,00
3020;Rungon teräsosat;3020201;Teräspilari ( Sivu x Sivu x Paksuus), H=Korkeus;0,00;kpl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4330;Metalliovet, -ikkunat ja lasiseinät;4330810;TVO- Teräksinen väliovi [EI60] 10x21;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2500;VSS-rakenteet;25001017;Laatan reunojen saumakittaus;35,00;jm;38,24;1,50;53,53;1,20;42,00;0,00;0,00;0,00;0,00;0,00;95,20
2500;VSS-rakenteet;25001506;Kuilulaatan raudoitus;0,00;kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2250;Sokkelielementit / sokkelikuorielementit;22501471;AV/AK- Sokkelielementtien asennus;3,96;kpl;38,000;64,60;258,40;39,27;159,99;0,00;0,00;0,00;0,00;0,00;415,48
2830;Sisäänkäyntitasot ja -katokset;2830372;PS: Teräspalkki IPE100, L=5500;2,04;kpl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2830;Sisäänkäyntitasot ja -katokset;28303277;RV-laatan eristys EPS 100 LATTIA 100mm;14,49;m2;38,70;6,38;92,48;6,53;94,62;0,00;0,00;0,00;0,00;0,00;187,10
5640;Tasoitelattiat (pumpputasoite);56402019;Ovien tukkolauta + kittaus;1945,76;m2;38,000;1,90;3 674,10;0,70;1357,63;0,00;0,00;0,00;0,00;0,00;5 027,71
4330;Metalliovet, -ikkunat ja lasiseinät;43303012;Metallisen ulko-oven sisäpuolen pellitykset;23,60;jm;0,00;0,00;0,00;0,00;0,00;6,90;162,84;0,00;0,00;0,00;162,84
6250;Saunojen tarvikkeet;62504012;Saunojen LASISEINÄT JA LASIOVET;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2830;Sisäänkäyntitasot ja -katokset;28303271;Ulkop.-laatan betonointi;2,32;m3;38,000;14,36;33,29;159,35;367,83;0,00;0,00;0,00;0,00;0,00;401,12
4700;Kaiteet ja parvekelasitukset;4700102;Sisäpuoliset teräskäsijohteet;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1200;Maankaivu;1200504;Rakennuksen sisätäyttö;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2830;Sisäänkäyntitasot ja -katokset;28303072;Porrasaskelmien raudoitus;6,58;kg;0,820;0,90;5,92;0,82;5,50;0,00;0,00;0,00;0,00;0,00;11,40
1200;Maankaivu;12005041;Tilavuustäyttö massoineen, tiivistetyt kuutiot;137,76;m3;0,000;0,00;0,00;9,52;1 311,51;13,50;1842,58;0,00;0,00;0,00;3131,59
1200;Maankaivu;1200504(1);Tilavuustäyttö rakennuksen reunoilla;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1200;Maankaivu;1200510;Perustusten/kellarin  vierustäyttö, Salaojakerros + routimaton sora, h=3m;0,00;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9250;Loppusiivous;92502501;Loppusiivous;3 307,50;brm2;0,000;0,00;0,00;0,00;0,00;5,33;17 850,00;0,00;0,00;0,00;17657,47
3120;Ontelo-, Massiivi- ja tulppalaatat;31202211;O32 Ontelolaatta TB320, O32= 64 kpl;435,96;m2;0,000;0,00;0,00;47,00;20 868,00;0,00;0,00;0,00;0,00;0,00;20 868,00
5560;Julkisivun puu- ja levyverhoukset;55603016;Ulkoseinän pystykoolaus levytyksen taakse, 25x100 k600 ALIURAKKANA;0,00;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9110;Työjohdon palkat & kustannusten korvaukset;91101102;Matka- ja kululaskut, Työmaa-aikaiset;0,00;kk;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;3170803;PS: P-Pilarielementti, 580 x 380, H=6040;1,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00
8140;Katualueen vuokrat;81401401;Katualueiden vuokrat;66,68;vrk;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1484,31;1487,07
3700;Ullakko- ja kattorakenteet;37007212;Ullakon eristyksen tukiseinät ristikkoväleihin TS levytys-9mm, nm2;9,00;m2;0,000;0,00;0,00;4,18;38,32;0,00;0,00;0,00;0,00;0,00;37,58
3700;Ullakko- ja kattorakenteet;3700701;YP1 : Pukkiristikkoyläpohja, Raakaponttilaudoitus;555,23;erä;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5240;Märkätilojen laatoitukset;52401014;PSH lattiakaivojen kannet;110,00;kpl;0,00;0,00;0,00;15,00;1 650,00;10,00;1120,15;0,00;0,00;0,00;2 750,00
2830;Sisäänkäyntitasot ja -katokset;28303605;Teräspalkin UPE asennus hitsattuna;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5180;Bitumikatteet;5180102;YP 1 : Pukkiristikko-osuuden Bitumikate;711,22;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3500;Ulkoseinät;3500121;Puurunkoiset ulkoseinät ( 50mm villa + Kipsilevy 13KN);843,42;m2;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6120;Märkätilojen kalusteet;61202012;PSH-Pyykkikaappi, POLARIA PYK 400/S5300;43,00;kpl;36,000;21,63;912,18;241,03;10160,10;0,00;0,00;0,00;0,00;0,00;11454,99
2200;Anturat ja perusmuurit;22001974;Paalutusten tuoma lisäraudoite 9,5kg/paalu;0,00;kpl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2600;Maanvaraiset alapohjat;26001075;Radonkaista, Pilarihaitta;0,00;kpl;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9400;Talvilisätyöt;94004002;Talvilisätyöt, Rungon urakkamaksut;3 307,50;kem2;2,55;1,28;4244,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4254,09
1500;Salaojat, putkijohdot, kaivot ja viemäri;15001100;Rakennusten putkistojen kaivuu ja täyttötyöt;128,16;jm;0,00;0,00;0,00;0,00;0,00;33,75;4360,03;0,00;0,00;0,00;4 325,52
8200;Työaikaiset rakenteet  LVIS;82002001;Väliaikaiset LVI-työt;11,00;kk;38,000;62,18;684,00;195,45;2 150,00;53,18;588,64;0,00;0,00;0,00;3362,35
5530;Julkisivun pellitykset ja metalliverhoukset;55306011;Parvekeoven ulkopuoliset smyygipellitykset;184,80;jm;0,000;0,00;0,00;0,00;0,00;13,42;2 480,20;0,00;0,00;0,00;2 480,20
6120;Märkätilojen kalusteet;61202011;PSH-Allaskalustesetti;48,79;kpl;35,87;21,84;1033,89;305,00;14848,56;0,00;0,00;0,00;0,00;0,00;15 676,80
3350;Betonipintojen etupaikkaus;33503100;Seinäelementtien etupaikkaus;3 100,90;m2;38,000;1,92;5933,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5 891,71
3170;Luhtikäyt.-,parveke-, parvekkeiden pielielementit;31707351;PS: CX-Tasapaksu-Parvekkeen kattolaatta TBxxx, pielikannatteinen;5,95;m2;0,000;0,00;0,00;171,00;1 012,32;0,00;0,00;0,00;0,00;0,00;1025,70
