Litterakoodi;Litteraselite;Koodi;Selite;Määrä;Yksikkö;Työ €/h;Työ €/yks.;Työ €;Aine €/yks.;Aine €;Alih €/yks.;Alih €;Vmiehet €/yks.;Vmiehet €;Muu €;Summa
3120;Ontelo-, Massiivi- ja tulppalaatat;31202271;Ontelolaattojen asennus, sis.saumavalutyöt, hox! €/kpl pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8150;Työmaa-alue , aitaukset ja mainoskilvet;81501501;Työmaan aitaus;260,00;m²;0,000;0,00;0,00;0,00;0,00;0,00;0,00;18,38;4 780,00;0,00;4 780,00
4330;Metalliovet, -ikkunat ja lasiseinät;43308230;TVPO- (MO)  Teräksinen pariväliovi [EI30] 14x21;3,00;kpl;0,000;0,00;0,00;1 200,00;3 600,00;0,00;0,00;0,00;0,00;0,00;3 600,00
4520;Kipsialakatot;45202501;Alaslaskun roikotus + vaakakoolaus Teräsranka 66 k400;23,19;  m2  ;0,000;0,00;0,00;11,42;264,94;0,00;0,00;0,00;0,00;0,00;264,94
5180;Bitumikatteet;51801027;Kattopollarit;5,00;kpl;0,000;0,00;0,00;0,00;0,00;250,00;1 250,00;0,00;0,00;0,00;1 250,00
3020;Rungon teräsosat;30202025;Teräspilareiden juotosbetonit;0,00;m²;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3110;Väliseinäelementit;31101012;V-Väliseinäelementit TB180, pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti pitkäteksti;184,51;??;0,000;0,00;0,00;80,00;14 760,80;0,00;0,00;0,00;0,00;0,00;14 760,80
3020;Rungon teräsosat;3020291;PS: Teräsputkipalkit, Suorakaide ( Sivu x Sivu x Paksuus) L=Pituus;0,00;??;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2500;VSS-rakenteet;25001404;VSS-VP muottityö+purku+puhdistus;66,60;m2;38,000;27,93;1 860,24;15,29;1 018,37;0,00;0,00;0,00;0,00;874,28;3 752,88
3020;Rungon teräsosat;30202024;Teräspilarin asennus hitsattuna;0,00;kpl;0,000;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
